UID          PID    PPID  C STIME TTY          TIME CMD
root         467       2  0 Sep20 ?        00:00:04 [irq/174-iwlwifi]
root         468       2  0 Sep20 ?        00:00:01 [irq/175-iwlwifi]
root         469       2  0 Sep20 ?        00:00:00 [irq/176-iwlwifi]
root         470       2  0 Sep20 ?        00:00:00 [irq/177-iwlwifi]
root         471       2  0 Sep20 ?        00:00:00 [irq/178-iwlwifi]
root         475       2  0 Sep20 ?        00:00:00 [card0-crtc0]
root         476       2  0 Sep20 ?        00:00:00 [card0-crtc1]
root         477       2  0 Sep20 ?        00:00:00 [card0-crtc2]
avahi        480       1  0 Sep20 ?        00:00:01 avahi-daemon: running [{HOSTNAME}.local]
root         481       1  0 Sep20 ?        00:00:00 /usr/bin/crond -n
dbus         482       1  0 Sep20 ?        00:00:19 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         483       1  0 Sep20 ?        00:00:17 /usr/bin/NetworkManager --no-daemon
polkitd      484       1  0 Sep20 ?        00:00:01 /usr/lib/polkit-1/polkitd --no-debug
root         485       1  0 Sep20 ?        00:00:00 /usr/lib/systemd/systemd-logind
avahi        486     480  0 Sep20 ?        00:00:00 avahi-daemon: chroot helper
root         510       1  0 Sep20 ?        00:00:00 /usr/bin/ModemManager
root         556       2  0 Sep20 ?        00:00:00 [kworker/0:1H-kblockd]
root         597       1  0 Sep20 ?        00:00:00 /usr/bin/sddm
root         627       1  0 Sep20 ?        00:00:00 /usr/lib/boltd
root         628       2  0 Sep20 ?        00:00:38 [irq/51-SYNA2393]
root         878       1  0 Sep20 ?        00:00:00 /usr/lib/bluetooth/bluetoothd
root         884       1  0 Sep20 ?        00:00:02 /usr/bin/wpa_supplicant -u -s -O /run/wpa_supplicant
root         937     597  1 Sep20 tty1     00:20:24 /usr/lib/Xorg -nolisten tcp -background none -seat seat0 vt1 -auth /var/run/sddm/{b6fc8163-afb0-40a3-94ef-8b389b32d285} -noreset -displayfd 17
root         964       1  0 Sep20 ?        00:00:00 /usr/lib/udisks2/udisksd
root         974       1  0 Sep20 ?        00:00:07 /usr/lib/upowerd
root         983     597  0 Sep20 ?        00:00:00 /usr/lib/sddm/sddm-helper --socket /tmp/sddm-auth09664c0a-9dfe-48e7-aedf-306061b3dacd --id 1 --start /usr/bin/startplasma-x11 --user {HOSTNAME}
